Name,CitationsPerPaper
Balbir S.+Reehal,54.0
Tsutomu+Mitsuishi,23.0
Ann E.+Orel,2.0
Pankaj K.+Mishra,1.6666666666666667
Claire K.+Thomas,92.0
Pavel+Korzhavyi,14.0
Grzegorz+Białkowski,0.0
Sherwin J.+Singer,8.153846153846153
Koichi+Miyamoto,7.333333333333333
Philip J.+Camp,7.588235294117647
Antoine+Campagne,3.0
Yakir+Hadad,4.0
Tapani A.+Pakkanen,12.5
Nicki+Bornhauser,0.5
Biswajit+Karmakar,4.888888888888889
Rajendra R.+Zope,3.96
Kay+Weiss,0.0
Wolfgang+Muschik,1.5
Vandana+Nanal,0.5
Vladimir I.+Sugakov,4.0
Jackson D.+Clarke,2.4
Caroline+Mellot-Draznieks,3.0
Régis+André,13.2
Hiroyuki+Mori,3.8
Hogun+Jhang,0.0
Arneil+Reyes,1.0
Changbong+Hyeon,2.5
Katalin+Kovács,3.0
Joanna+Schmit,4.0
Peter+Orland,5.3
Shayne+Reichard,0.0
Jivtesh+Garg,36.333333333333336
Yuriy+Zinchenko,2.0
Patricia T.+Boyd,1.5
Peter+Lipa,7.0
Josep M.+Ribó,1.0
Kostas N.+Orginos,19.0
Stefano+Ranfone,12.0
W. P. Karel+Zapfe,0.0
Rolf E.+Isele-Holder,0.0
Stuart P.+Lloyd,16.0
Gene+Cantwell,0.0
Max+Goodrich,4.0
Vishagan+Ratnaswamy,2.0
Josef+Zähringer,3.0
Angela J.+Langdon,1.0
Xavier+Garcia i Tormo,14.0
James+Corones,5.0
Alexander+Schwarz,9.25
Guangqiang+Jia,1.0
Hideko+Nagahiro,5.454545454545454
Michael+Kempe,7.0
Christian+Jost,0.0
Roberto P. J.+Perazzo,1.5
Siegfried+Fussy,2.0
Santanu+Mondal,0.0
Gregoire+Brebner,1.0
Binit+Lukose,0.0
Prashant+Nagpal,2.0
Alfred A.+Kraus,15.11111111111111
Kenichi+Imaeda,4.333333333333333
Gennadiy+Burlak,2.6
Antoine J.+Cerfon,0.0
Tristan+Farrow,2.5
Fabian+Brau,4.0
Markus+Bär,11.0
Kenneth+Emerson,2.3333333333333335
Razvan+Caracas,2.25
Peter+Ashburn,3.0
Mitsuhiro+Toriumi,1.0
Marin+Soljačic,5.0
Oswaldo+Zapata,5.0
Gudrun+Hagemann,20.0
Hazel+Pearson,7.0
Peter+Rech,6.0
Mustapha+Ishak,9.612903225806452
Alain+Goriely,5.0
Christopher D.+Hamley,15.5
Avner+Amir,8.0
Alessandro+Micco,6.0
Shinsuke+Shibata,7.0
Ferenc+Mezei,0.0
Huiqiu+Yuan,11.0
Frank+Eisert,1.5
Aitor+Mugarza,5.0
Yanfei+Zhang,0.0
Jiri+Malek,1.0
Yoske+Sumitomo,6.75
Lawrence+Lurio,17.0
Elina+Keihänen,1.5
Franziska+Töpler,0.0
Besim+Tanyel,1.0
Samuel H.+Blitz,7.0
Elena V.+Charnaya,5.0
Nigel J.+Shevchik,32.0
Kenneth M.+Watson,42.24590163934426
Lev N.+Bulaevskii,2.769230769230769
Glauber T.+Marques,0.0
Alok+Gambhir,10.0
Mihail+Mirea,11.0
Nelson+Sepúlveda,0.0
Alexandre+Yale,2.0
Tomoya+Higo,1.5
Evgueni+Nikitin,5.0
James W.+Landry,15.0
Horacio Tertuliano S.+Filho,6.0
Aurelio+Patelli,6.333333333333333
Michael J.+Sayers,6.0
Jeremy+Kavka,5.0
Adrian+Nicholl,1.0
Nguyenho+Ho,0.0
James D.+Boyer,11.666666666666666
Hiroki K.+Sato,4.666666666666667
James L.+Hanssen,9.5
Laurent G.+Caron,10.333333333333334
Mohamed H.+Mabrouk,2.0
Jaume+Gomis,3.0
Katarzyna+Zwierzchowska,6.0
Maurizio+Piai,8.818181818181818
Neal+Turner,0.0
Anna+Gutina,1.0
Péter+Ván,1.0
Assunta+Bonanno,1.5
Hiroshi+Akera,14.7
Atsushi+Takashima,0.0
Lorand+Delczeg,0.5
Kentarou+Sawano,3.0
Ton G.+van Leeuwen,1.0
Ivan+Biaggio,4.444444444444445
Vivek+Mishra,3.4
Miomir B.+Djordjević,0.0
Mukesh+Dhamala,2.0
Rosemary A.+MacDonald,5.0
Namil+Kim,0.0
Christiana+Athanasiou,12.666666666666666
Martin A.+Porter,4.0
Keiji+Fukui,1.0
Maitreyee+Nandy,1.625
Freek J. M.+Hoeben,4.0
José Nelson+Onuchic,7.666666666666667
Peter+Anders,18.0
Miladin+Radovic,1.5
James M.+Takacs,0.0
Lucy D.+Whalley,0.0
Gregory+Coard,3.0
CHARLES R.+WHITSETT,6.0
Isa+Brandão,1.0
Wayne Y.+Fung,0.0
Toshiki+Sasaki,0.0
Erik S.+So/rensen,46.833333333333336
Nicoleta+Kaluza,8.0
Bruno W.+Augenstein,0.0
Julia+Herrero-Albillos,6.166666666666667
Michihiro+Horimoto,3.0
Jerome+Dilley,3.0
Antonio Enea+Romano,9.125
Ehsan+Irani,4.0
Juliusz Zbyszko+Zielinski,1.0
Bram+De Geyter,2.0
Antoine+Naert,5.0
Yoshimasa+Egi,1.0
Drew+Bertwistle,11.0
Félix+Werner,33.42857142857143
Masahiko+Inui,24.5
Hanna+Małuszyńska,3.0
Khandker+Quader,3.6
Vijay+Rawat,0.0
Laure+Mercier de Lépinay,0.0
Sindhu+Kalyadan,0.0
Mauro+Ghedini,11.0
Engelbert+Suchla,10.0
William E.+Fogle,11.666666666666666
Haiyang+Peng,3.0
Masaru+Nakahara,1.3333333333333333
Denis D.+Sheka,3.652173913043478
Giuseppe+Lombardo,7.0
Jom Sool+Kim,0.0
Isao+Harada,1.0
Frank+Raischel,4.0
Ronen+Caspi,0.0
Yoshimitsu+Ushimi,7.5
Igor E.+Batov,5.0
Norman J. M.+Horing,4.791666666666667
Masami+Nakagawa,5.0
Jaehong+Jeong,8.2
Naum S.+Ginzburg,1.0
Sebastian+Schramm,0.0
Darlene L.+Hart,3.0
Ronald S.+Friedman,13.0
Soumik+Bhattacharya,0.5
Hugo W.+Bertini,25.583333333333332
Josephine M.+Bradley,16.0
Fumihiro+Matsui,0.0
Jim+Overkamp,3.0
Tom+Chau,0.0
Sebastian+Kiepsch,0.0
Arthur B.+Chilton,27.0
Spyros+Lavdas,1.0
Sean+Brennan,2.0
Harry+Buhrman,23.692307692307693
Maciej+Dendzik,1.4285714285714286
