Name,Productivity
Stéphane+Daniele,1
Naoki+Kawashima,40
Paweł+Krawczyk,2
Olle+Björneholm,5
J. Andrzej+Domaradzki,1
Carmela+Buonavolontà,1
Keshav+Shrestha,1
Hans J.+Weber,4
Antonio+Giorgilli,1
Wim R.+Koppers,1
Irinel+Chiorescu,2
Marek+Hyt'ha,1
Talat S.+Rahman,86
Christian+Aponte-Rivera,1
Emilio+Torrente-Lujan,3
Wayne W.+Scanlon,18
Giuseppe+Zerbi,3
Lewis+Larrick,4
Adrien+Bussonnière,1
Joachim P.+Spatz,2
Eoin+Sheridan,1
Hylke C.+Donker,1
Jorge L.+Nisperuza,1
Øystein+Elgarøy,6
Graeme E.+Murch,1
Michael+Litos,1
Sylvia K.+Lewin,1
Martin+Hirsch,9
P. Henrik+Alfredsson,2
Steven+Prutzer,4
Diana+Guenzburger,28
Werner+Wegscheider,40
Atsushi+Yabushita,7
Verne+Jacobs,4
H. Viet+Nguyen,1
MICHAEL C.+WEINBERG,2
Seiichi+Wakaizumi,10
Céline+Charbonneau,1
Gordon J.+Aubrecht,15
Heinz-Dietrich+Doebner,1
Desai+Zhang,1
Aleksandar+Matic,3
Sergei B.+Leble,1
Ivana+Bochicchio,1
Mikhail A.+Osipov,9
Marilyn J.+Stafne,2
Utpal+Chattopadhyay,26
Dwi+Prananto,1
Dennis+Ikenberry,13
Frédéric+Dubreuil,1
Mattias+Christensson,2
James W.+Bennett,1
Brenno Caetano Troca+Cabella,1
Gregory A.+Grieves,2
Masashi+Aoki,1
Silverio P.+Almeida,1
Brice+Calkins,2
Maxim+Chernodub,2
Daisuke+Saito,1
Steven Trent+Manson,10
Dror+Kasimov,1
Mboyo+Esole,1
Mikhail+Panine,1
Vladimir S.+Gerdjikov,1
Louis C.+Jorritsma,3
Brindaban+Modak,1
Jozef+Skakala,1
Nathan S.+Williams,5
Charles+Rey,2
Evgeny V.+Doktorov,2
Gintaras K.+Duda,1
Ranjan+Modak,2
Arkady+Tseytlin,2
Paolo+Grigolini,92
Sebastian+Trojanowski,3
Kaushik+Balakrishnan,1
Fernando+Mellibovsky,4
P. S. Anil+Kumar,5
Hiroto+Furumochi,1
Josef+Kubát,1
Jose E.+Wesfreid,3
William A.+Barker,6
Vu+Thien Binh,2
Simone+Anders,2
Patrick M.+Odenthal,2
Minoru+Soda,7
J. Patrick+Zobel,1
Amy E. Stevens+Miller,1
Philip+DeBoer,1
Harrison+Brown,24
Vadim N.+Kurdyumov,1
Hiroshi+Kohno,22
Jen-Chuen+Hsieh,1
Alexander+Borisov,2
Djordje+Spasojević,4
Sergei+Nedelko,1
Yuki+Natsume,1
Puneet Kumar+Patra,4
Achilleas P.+Porfyriadis,4
Roberto+Osório,6
Gaetano+Bertoldi,5
Nobin+Banerji,1
C. William+McCurdy,25
Boris W.+Batterman,20
Yasuyuki+Maki,3
Duane D.+Bruns,1
Norihiro+Matsuo,1
François+Triozon,11
Hiroki+Mitamura,1
Ismo+Koponen,3
Lev P.+Pitaevskii,21
James B. R.+Battat,2
Yuliya+Stark,3
Tobias+Donner,1
Winifred M.+Huo,13
Jiro+Kitagawa,3
Per+Johnsson,2
Kazumasa+Togano,2
James J.+Boyle,2
Jongbeom+Hong,1
Emile+Hoskinson,3
Katsutoshi+Fukuda,1
Julia M.+Link,1
Kirill A.+Bronnikov,1
Wolfgang+Mück,3
Volker+Gräschus,2
Juergen+Eckert,1
Gabriela I.+González,1
Gionata+Luisoni,1
Hanoh+Lee,6
Marcus G.+Martin,1
Stefan+Link,2
Hiroki+Hashiguchi,1
Harold+Stiles.,3
Akio+Kimura,15
Jonathan+Noe,1
Mikhail V.+Sazhin,2
Paolo+Palmerini,1
Aakash+Pushp,2
Konstantinos+Zoubos,1
Renato+Casagrandi,2
Seongjin+Kim,4
Surendra K.+Jain,1
Louis+Harbour,1
James T.+Hugall,1
Jorge S.+Díaz,6
Matko+Glunčić,2
Derek+Scott,1
Luca+Zambelli,2
Jacob L.+Roberts,5
Martin+Krzywinski,1
Robin+Koytcheff,1
Yves+Peysson,3
Matthew B.+Hastings,25
Marek+Góźdz,1
James W.+Cederberg,1
Alenka+Mertelj,6
